,ByAppointmentOnly,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,RestaurantsDelivery,RestaurantsGoodForGroups,HasTV,BikeParking,OutdoorSeating,RestaurantsPriceRange2,RestaurantsTakeOut,RestaurantsTableService,Caters,RestaurantsReservations,GoodForKids,stars,hours,is_open,review_count,longitude,latitude,city,state,address,GoodForMeal_0,Ambience_0,BusinessParking_0,name,postal_code,categories,HappyHour,WheelchairAccessible,DogsAllowed,CoatCheck,GoodForDancing,AcceptsInsurance,DriveThru,Corkage,BYOB,BestNights_0,HairSpecializesIn_0,Music_0,AgesAllowed_u'21plus',AgesAllowed_u'allages',Alcohol_'beer_and_wine',Alcohol_'full_bar',Alcohol_'none',Alcohol_u'beer_and_wine',Alcohol_u'full_bar',Alcohol_u'none',BYOBCorkage_'yes_corkage',BYOBCorkage_'yes_free',NoiseLevel_'average',NoiseLevel_'quiet',NoiseLevel_'very_loud',NoiseLevel_u'average',NoiseLevel_u'loud',NoiseLevel_u'quiet',NoiseLevel_u'very_loud',RestaurantsAttire_'casual',RestaurantsAttire_'dressy',RestaurantsAttire_u'casual',Smoking_u'no',Smoking_u'outdoor',Smoking_u'yes',WiFi_'free',WiFi_'no',WiFi_u'free',WiFi_u'no'
0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,4.5,"{'Monday': '11:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}",1,184,-115.0405289,36.1956146,Las Vegas,NV,6055 E Lake Mead Blvd,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Maria's Mexican Restaurant & Bakery,89156,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,2.0,1.0,0.5,0.5,0.5,0.5,4.5,"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-20:0'}",1,8,-79.3495479,43.7540931,Toronto,ON,"865 York Mills Road, Unit 1",0.5,0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",Bakery Gateau,M3B 1Y6,"Bakeries, Food",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.0,0.5,0.5,0.5,0.5,0.5,5.0,"{'Monday': '11:30-19:0', 'Tuesday': '11:30-19:0', 'Wednesday': '11:30-19:0', 'Thursday': '11:30-19:0', 'Friday': '11:30-19:0', 'Saturday': '11:30-18:0', 'Sunday': '12:0-17:0'}",1,12,-79.3913851,43.6707435,Toronto,ON,26 Bellair St,0.5,0.5,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",Uncle Otis Clothing,M5R 2C7,"Fashion, Sporting Goods, Men's Clothing, Shopping, Sports Wear",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.5,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '10:0-14:0'}",1,52,-115.184443,36.129424,Las Vegas,NV,"3325 W Desert Inn Rd, Ste 101",0.5,0.5,0.5,AW Collision,89102,"Car Rental, Windshield Installation & Repair, Auto Detailing, Hotels & Travel, Automotive, Towing, Body Shops",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,1.0,0.5,0.0,0.5,0.5,3.0,"{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}",1,57,-79.4254291,43.6428886,Toronto,ON,1170 Queen Street W,0.5,0.5,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",Bolt Fresh Bar,M6J 1J5,"Juice Bars & Smoothies, Food, Restaurants, Fast Food, Vegan",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,3.5,"{'Monday': '9:0-23:0', 'Tuesday': '9:0-23:0', 'Wednesday': '9:0-23:0', 'Thursday': '9:0-23:0', 'Friday': '8:30-23:30', 'Saturday': '8:30-23:30', 'Sunday': '9:0-22:30'}",1,38,-115.2872775,36.161805,Las Vegas,NV,8800 W Charleston Blvd,0.5,0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Ross Dress for Less,89117,"Shopping, Home & Garden, Department Stores, Men's Clothing, Fashion, Women's Clothing, Discount Store, Home Decor",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5.0,0.5,1,4,-112.1032008,33.5380237,Phoenix,AZ,"6875 N 21st Ave, Ste 118",0.5,0.5,0.5,JSE Automotive Services,85015,"Automotive, Auto Repair",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.5,1.0,1.0,0.0,3.5,"{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-15:0'}",0,29,-79.432099,43.6604937,Toronto,ON,1051 Bloor Street W,0.5,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",The Steady Cafe & Bar,M6H 1M4,"Restaurants, Nightlife, Breakfast & Brunch, Vegan, Food, Tapas Bars, Bars, Southern, Coffee & Tea",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,2.0,1.0,0.5,0.0,0.5,0.5,4.5,"{'Monday': '11:30-20:30', 'Tuesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}",0,6,-80.690262,35.21051,Charlotte,NC,9020 B Albemarle Rd,0.5,0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",So Cool Frozen Yogurt,28227,"Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,1,19,-115.2420267,36.2166671,Las Vegas,NV,3150 N Rainbow Blvd,0.5,0.5,0.5,Bank of America,89108,"Home Services, Real Estate, Financial Services, Banks & Credit Unions, Mortgage Brokers",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,0.0,3.5,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",0,16,-80.831878,35.156338,Charlotte,NC,6401 Morrison Blvd,0.5,0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Manzetti's Tavern,28211,"Sandwiches, Italian, American (Traditional), American (New), Seafood, Steakhouses, Restaurants",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2.0,0.5,0.5,0.5,0.5,0.5,3.5,"{'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '8:0-16:0'}",0,6,-112.186448429,33.623871416,Glendale,AZ,15224 N 59th Ave,0.5,0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",The Lounge Barber Shop,85306,"Beauty & Spas, Barbers",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '13:0-17:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0'}",1,6,-111.8436203003,33.391002655,Mesa,AZ,1318 S Vineyard,0.5,0.5,0.5,Sonoma Village,85210,"Home Services, Real Estate, Apartments, Hotels & Travel, Vacation Rentals",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,0.5,0,13,-115.1084553,35.9911594,Henderson,NV,"2789 Sunridge Heights Pkwy, Ste 100",0.5,0.5,0.5,A Woman's Place,89052,"Medical Centers, Doctors, Obstetricians & Gynecologists, Health & Medical",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5.0,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0'}",1,12,-111.77746,33.278251,Gilbert,AZ,"560 E Germann Rd, Ste 107",0.5,0.5,0.5,OzBraz,85297,"Auto Glass Services, Auto Detailing, Automotive, Auto Parts & Supplies, Auto Customization, Vehicle Wraps",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
